Kundennummer;Filialnummer;Filialname;Strasse;PLZ                      ;ORT

19106;36184;E-Center                      ;Römerstraße                   ;54516;WITTLICH

19106;39251;E-Center                      ;Brückenstraße 2               ;54338;SCHWEICH

19106;41155;E-Center                      ;An den Langenwiesen 1         ;86720;NÖRDLINGEN

19106;42042;E-Center                      ;Carl-Benz-Straße 6            ;74722;BUCHEN

19106;42608;E-Center                      ;Hermann-Schnaufer-Straße 7    ;71263;WEIL DER STADT

19106;50050;E-Center                      ;Emil-Adolff-Straße            ;72760;REUTLINGEN

19106;50258;E-Center                      ;Schwenninger Straße 40        ;78073;BAD DUERRHEIM

19106;50531;E-Center                      ;Albrechstraße 33              ;72336;BALINGEN

19106;50586;E-Center                      ;Karpfenweg 10-12              ;89584;EHINGEN/DONAU

19106;51206;E-Center                      ;Gewerbestraße 23              ;79194;GUNDELFINGEN

19106;51817;E-Center                      ;Lörracher Straße 8            ;79115;FREIBURG

19106;51855;E-Center                      ;Waldshuter Straße 14          ;79725;LAUFENBURG

19106;51893;E-Center Nonfood              ;Carl-Benz-Straße 18           ;78467;KONSTANZ

19106;51909;E-Center                      ;Erwin-Rentschler-Straße 9     ;88471;LAUPHEIM

19106;52377;E-Center                      ;Riedstraße/Nattestraße        ;74354;BESIGHEIM

19106;52759;E-Center                      ;August-Scherer-Straße 1       ;76456;KUPPENHEIM-OBERNDORF

19106;52889;E-Center                      ;Schliengener Straße 1         ;79379;MÜLLHEIM

19106;52902;E-Center                      ;Wilhelm-Roentgen-Straße 1     ;77656;OFFENBURG

19106;53356;E-Center                      ;Wiesenstraße 35               ;73614;SCHORNDORF

19106;53707;E-Center                      ;An der B33                    ;78224;SINGEN

19106;53950;E-Center                      ;Industriestraße 3             ;79761;WALDSHUT-TIENGEN

19106;54052;E-Center                      ;Weimarstraße 60               ;78532;TUTTLINGEN

19106;54151;E-Center                      ;Junginger Straße 15           ;89081;ULM

19106;54250;E-Center                      ;Vockenhauser Straße 15        ;78048;VILLINGEN

19106;54779;E-Center                      ;Heinrich-Rieger-Straße 22     ;73430;AALEN

19106;54809;E-Center                      ;Lippertsreuter Straße 61      ;88662;UEBERLINGEN

19106;55543;E-Center                      ;Bosenheimer Straße 287        ;55543;BAD KREUZNACH

19106;67663;E-Center                      ;Zollamtstraße 28              ;67663;KAISERSLAUTERN

19106;75742;E-Center                      ;Neckaraue                     ;71686;REMSECK

19106;75743;E-Center                      ;Seckenheimer Landstraße 246   ;68163;MANNHEIM-NEUOSTHEIM

19106;82514;EDEKA Sommer                  ;Mühlbacher Straße 9           ;75031;EPPINGEN

21403;1;Handelshof Köln GmbH & Co.KG  ;Rolshover Str. 229-231        ;51105;KÖLN

21403;2;                              ;                              ;            ;

21404;1;Handelshof Haan GmbH & Co.KG  ;Ginsterweg 14                 ;42781;HAAN/RHEINLAND

21405;1;Handelshof Rheinbach GmbH&CoKG;Kleinaltendorfer Weg 2        ;53359;RHEINBACH

21406;1;Handelshof Schwerin GmbH&Co.KG;Rostocker Chaussee 7          ;18273;GÜSTROW

21407;1;Handelshof Hamburg GmbH&Co.KG ;Bessemerstr.11                ;21339;LÜNEBURG

21407;2;                              ;                              ;            ;

21408;1;Handelshof Kanne GmbH & Co.KG ;Sylbeckestr. 12               ;32756;DETMOLD

21409;1;Handelshof                    ;Rönnetering 12                ;41068;MÖNCHENGLADBACH

21409;2;bronxx Creativ Studios        ;Wildenbruchstr. 26a - 28      ;45888;GELSENKIRCHEN

21410;1;Handelshof Bocholt GmbH&Co.KG ;Dingdener Str. 203            ;46395;BOCHOLT

21411;1;Handelshof Schwerin GmbH&Co.KG;Handelsstr. 3-6               ;19061;SCHWERIN

21412;1;Dohle Handelsgruppe           ;Alte Lohmarer Str. 59         ;53721;SIEGBURG

21413;1;Handelshof Kanne GmbH & Co.KG ;Schelpmilser Weg 24           ;33609;BIELEFELD

21414;1001;Ratio-Handel GmbH & Co.KG     ;Albertsloher Weg 194          ;48155;MÜNSTER

21414;3002;Ratio-Handel GmbH & Co.KG     ;Speicherstr. 5                ;44809;BOCHUM

21414;3003;Ratio-Handel GmbH & Co.KG     ;Loddenheide 5                 ;48155;MÜNSTER

21414;3004;Ratio-Handel GmbH & Co.KG     ;Karlsruher Str. 8             ;30880;LAATZEN

21414;3005;Ratio-Handel GmbH & Co.KG     ;Daniel-Goldbach-Str.23        ;40880;RATINGEN

21414;3006;Ratio-Handel GmbH & Co.KG     ;Hansestr. 1                   ;33689;BIELEFELD

21414;3013;Ratio-Handel GmbH & Co.KG     ;Benzstr. 17                   ;49076;OSNABRÜCK

21414;3015;Ratio-Handel GmbH & Co.KG     ;Kapellenstr. 8                ;65555;LIMBURG

21414;3016;Ratio-Handel GmbH & Co.KG     ;Am Ringofen 19                ;58089;HAGEN

21414;4002;Ratio-Handel GmbH & Co.KG     ;Hofsteder Str. 205            ;44809;BOCHUM

21414;4003;Ratio-Handel GmbH & Co.KG     ;Loddenheide 2                 ;48155;MÜNSTER

21414;4004;Ratio-Handel GmbH & Co.KG     ;Augsburger Strasse 6          ;30880;LAATZEN

21414;4005;Ratio-Handel GmbH & Co.KG     ;Daniel-Goldbach-Str.21        ;40880;RATINGEN

21414;4006;Ratio-Handel GmbH & Co.KG     ;Hansestr. 1                   ;33689;BIELEFELD

21414;4007;Ratio-Handel GmbH & Co.KG     ;Fuldastr.1-5                  ;34225;BAUNATAL

21414;4008;Ratio-Handel GmbH & Co.KG     ;Zurmaiener Str. 160-168       ;54292;TRIER

21414;4009;Ratio-Handel GmbH & Co.KG     ;Koblenzer. 249                ;32584;LÖHNE

21414;4012;Ratio-Handel GmbH & Co.KG     ;Henleinstr. 1                 ;28816;STUHR

21414;4013;Ratio-Handel GmbH & Co.KG     ;Kurt-Schumacher-Damm 52-54    ;49078;OSNABRÜCK

21414;4015;Ratio-Handel GmbH & Co.KG     ;Kapellenstr.10                ;65555;LIMBURG
